,Company Name,Job Title,Salaries Reported,Location,Salary
71,Citi,Data Scientist,5,Bangalore,1892758.0
72,GE Healthcare,Data Scientist,5,Bangalore,1572054.0
73,SigTuple,Data Scientist,5,Bangalore,2024533.0
74,Dell Technologies,Data Scientist,5,Bangalore,1927564.0
75,iNeuron,Data Scientist,5,Bangalore,800000.0
76,Ericsson IT Solutions & Services,Data Scientist,5,Bangalore,2009790.0
77,Aptus Data Labs,Data Scientist,5,Bangalore,831462.0
78,UniQreate,Data Scientist,5,Bangalore,516323.0
79,LinkedIn,Data Scientist,5,Bangalore,2333241.0
80,Apexon,Data Scientist,5,Bangalore,1200000.0
81,Shadowfax Technologies,Data Scientist,5,Bangalore,2006522.0
82,Bharti Airtel,Data Scientist,5,Bangalore,2160000.0
83,Applied Materials,Data Scientist,5,Bangalore,1341316.0
84,FICO,Data Scientist,5,Bangalore,1634105.0
85,YouPlus,Data Scientist,5,Bangalore,1389256.0
86,Mphasis,Data Scientist,5,Bangalore,1000000.0
87,Target,Data Scientist,5,Bangalore,1231116.0
88,Gojek,Data Scientist,5,Bangalore,2352941.0
89,Blueocean Market Intelligence,Data Scientist,5,Bangalore,744551.0
90,CRED,Data Scientist,5,Bangalore,3014686.0
91,Rolls-Royce,Data Scientist,5,Bangalore,1357204.0
92,Curl Analytics,Data Scientist,4,Bangalore,1053196.0
93,J.P. Morgan,Data Scientist,4,Bangalore,1337606.0
94,Knowledge Lens,Data Scientist,4,Bangalore,585900.0
95,IBM,Data Scientist,4,Bangalore,395436.0
96,ascena,Data Scientist,4,Bangalore,1649930.0
97,QuantZig,Data Scientist,4,Bangalore,1138060.0
98,Baker Hughes,Data Scientist,4,Bangalore,1612744.0
99,Everlytics,Data Scientist,4,Bangalore,432776.0
100,Siemens,Data Scientist,4,Bangalore,987471.0
101,ANZ Bank,Data Scientist,4,Bangalore,1512297.0
102,Lowe's Home Improvement,Data Scientist,4,Bangalore,1752935.0
103,Nones,Data Scientist,4,Bangalore,1197944.0
104,Bristlecone,Data Scientist,4,Bangalore,923544.0
105,Altimetrik,Data Scientist,4,Bangalore,587146.0
106,Head Digital Works,Data Scientist,4,Bangalore,977543.0
107,Artivatic Data Labs,Data Scientist,4,Bangalore,649755.0
108,HDFC Standard Life Insurance,Data Scientist,4,Bangalore,1177531.0
109,AntWorks,Data Scientist,4,Bangalore,1194925.0
110,American Express,Data Scientist,4,Bangalore,1693208.0
111,ITC Infotech,Data Scientist,4,Bangalore,414817.0
112,Aidetic,Data Scientist,4,Bangalore,704193.0
113,NeenOpal,Data Scientist,4,Bangalore,590000.0
114,Knowledge Foundry,Data Scientist,4,Bangalore,1119069.0
115,Mindtree,Data Scientist,4,Bangalore,669225.0
116,Nones,Data Scientist,3,Bangalore,1013978.0
117,TVS Motor Company,Data Scientist,3,Bangalore,1252803.0
118,XYZ,Data Scientist,3,Bangalore,840000.0
119,ShieldSquare,Data Scientist,3,Bangalore,761610.0
120,Tech Data,Data Scientist,3,Bangalore,1200000.0
121,Publicis Sapient,Data Scientist,3,Bangalore,1670405.0
122,Hinduja Global Solutions,Data Scientist,3,Bangalore,1284643.0
123,GE Digital,Data Scientist,3,Bangalore,1653106.0
124,GlobusSoft,Data Scientist,3,Bangalore,385393.0
125,MakeMyTrip,Data Scientist,3,Bangalore,1200000.0
126,Artificial Learning Systems,Data Scientist,3,Bangalore,1124740.0
127,Dailyhunt,Data Scientist,3,Bangalore,2600000.0
128,Draup,Data Scientist,3,Bangalore,1859109.0
129,SwitchOn,Data Scientist,3,Bangalore,669785.0
130,PwC,Data Scientist,3,Bangalore,1205874.0
131,Innodatatics,Data Scientist,3,Bangalore,128460.0
132,Robert Bosch,Data Scientist,3,Bangalore,1180355.0
133,Two Roads Tech,Data Scientist,3,Bangalore,3812913.0
134,ExxonMobil,Data Scientist,3,Bangalore,2873437.0
135,Bidgely,Data Scientist,3,Bangalore,1438481.0
136,IQVIA,Data Scientist,3,Bangalore,899123.0
137,ShareChat,Data Scientist,3,Bangalore,2300000.0
138,Course5 Intelligence,Data Scientist,3,Bangalore,825077.0
139,MAERSK,Data Scientist,3,Bangalore,2207174.0
140,Caterpillar,Data Scientist,3,Bangalore,1526335.0
141,Bepec Solutions,Data Scientist,3,Bangalore,600000.0
142,NetApp,Data Scientist,3,Bangalore,2875549.0
143,Exposys Data Labs,Data Scientist,3,Bangalore,433440.0
144,Spoonshot,Data Scientist,3,Bangalore,1615535.0
145,InMobi,Data Scientist,3,Bangalore,1700000.0
146,Swiss Re,Data Scientist,3,Bangalore,1352802.0
147,TheMathCompany,Data Scientist,3,Bangalore,600000.0
148,Shell,Data Scientist,3,Bangalore,2148775.0
149,Flip Robo,Data Scientist,3,Bangalore,306972.0
150,HCL,Data Scientist,3,Bangalore,347924.0
151,upGrad,Data Scientist,3,Bangalore,1284643.0
152,Legato Health Technologies,Data Scientist,3,Bangalore,1200000.0
153,Terra Economics and Analytics Lab,Data Scientist,3,Bangalore,720000.0
154,HDFC Bank,Data Scientist,3,Bangalore,1105385.0
155,Halodoc,Data Scientist,3,Bangalore,1879205.0
156,Analytical Wizards,Data Scientist,3,Bangalore,600000.0
157,PayPal,Data Scientist,3,Bangalore,273000.0
158,GE,Data Scientist,3,Bangalore,1007628.0
159,Manthan,Data Scientist,3,Bangalore,1254416.0
160,Visa Inc.,Data Scientist,3,Bangalore,324000.0
161,Tech Mahindra,Data Scientist,3,Bangalore,1500000.0
162,Data Semantics,Data Scientist,3,Bangalore,362209.0
163,GE Aviation,Data Scientist,3,Bangalore,1349689.0
164,Landmark Group,Data Scientist,3,Bangalore,1605804.0
165,Neustar,Data Scientist,3,Bangalore,1923665.0
166,Axis Bank,Data Scientist,3,Bangalore,1171687.0
167,Comviva,Data Scientist,3,Bangalore,900000.0
168,iQuanti,Data Scientist,3,Bangalore,2046452.0
169,Mercedes-Benz International,Data Scientist,2,Bangalore,1118808.0
170,Zoom Video Communications,Data Scientist,2,Bangalore,2839076.0
171,Money View,Data Scientist,2,Bangalore,1438576.0
172,nference,Data Scientist,2,Bangalore,1930235.0
173,KrazyBee,Data Scientist,2,Bangalore,1149607.0
174,Applied Materials,Data Scientist,2,Bangalore,1407768.0
175,Mavenir,Data Scientist,2,Bangalore,961306.0
176,Molecular Connections,Data Scientist,2,Bangalore,516564.0
177,Yodlee,Data Scientist,2,Bangalore,2315641.0
178,NovelSynth Soft Solutions,Data Scientist,2,Bangalore,245580.0
179,Locus,Data Scientist,2,Bangalore,2472920.0
180,IVYTEL Technologies,Data Scientist,2,Bangalore,496798.0
181,Sumyag,Data Scientist,2,Bangalore,770664.0
182,Wabtec,Data Scientist,2,Bangalore,2420967.0
183,VMware,Data Scientist,2,Bangalore,2079353.0
184,Wipro Digital,Data Scientist,2,Bangalore,1207396.0
185,Zycus,Data Scientist,2,Bangalore,904464.0
186,Tyson Foods,Data Scientist,2,Bangalore,1825549.0
187,OceanFrogs,Data Scientist,2,Bangalore,444048.0
188,Lenovo,Data Scientist,2,Bangalore,1917242.0
189,Tata,Data Scientist,2,Bangalore,1612292.0
190,Simplilearn Solutions,Data Scientist,2,Bangalore,761760.0
191,Dun & Bradstreet,Data Scientist,2,Bangalore,182028.0
192,AlmaBetter,Data Scientist,2,Bangalore,729193.0
193,CreditNirvana,Data Scientist,2,Bangalore,1245989.0
194,DONE by NONE,Data Scientist,2,Bangalore,750734.0
195,Accentue,Data Scientist,2,Bangalore,1319401.0
196,SymphonyAI,Data Scientist,2,Bangalore,462720.0
197,First Student,Data Scientist,2,Bangalore,501000.0
198,Datamatics Global Services,Data Scientist,2,Bangalore,1223165.0
199,Razorpay,Data Scientist,2,Bangalore,1423985.0
200,NTT Ltd.,Data Scientist,2,Bangalore,1611876.0
201,mfine,Data Scientist,2,Bangalore,2050962.0
202,Marlabs,Data Scientist,2,Bangalore,1304028.0
203,Optum Global Solutions,Data Scientist,2,Bangalore,1213107.0
204,Reckonsys,Data Scientist,2,Bangalore,1333764.0
205,Apisero,Data Scientist,2,Bangalore,950000.0
206,Aruba Networks,Data Scientist,2,Bangalore,1518492.0
207,Intellicar,Data Scientist,2,Bangalore,1327250.0
208,ORMAE,Data Scientist,2,Bangalore,202344.0
209,CROPIN TECHNOLOGY SOLUTIONS,Data Scientist,2,Bangalore,225960.0
210,Belong,Data Scientist,2,Bangalore,1433532.0
211,Mobile Premier League,Data Scientist,2,Bangalore,2404581.0
212,Smiths Detection,Data Scientist,2,Bangalore,1560483.0
213,Shubh Loans,Data Scientist,2,Bangalore,996878.0
214,TCS,Data Scientist,2,Bangalore,3532356.0
215,Fresher,Data Scientist,2,Bangalore,703427.0
216,Aditya Birla Group,Data Scientist,2,Bangalore,1635202.0
217,Morgan Stanley,Data Scientist,2,Bangalore,1299238.0
218,Publicis Sapient,Data Scientist,2,Bangalore,396600.0
219,DataVal Analytics,Data Scientist,2,Bangalore,695052.0
220,Thomson Reuters,Data Scientist,2,Bangalore,1532945.0
221,Numerify,Data Scientist,2,Bangalore,2530666.0
222,Kabbage,Data Scientist,2,Bangalore,2065471.0
223,Loyalytics Consulting,Data Scientist,2,Bangalore,712128.0
224,Monsanto Company,Data Scientist,2,Bangalore,1975970.0
225,FOKAL,Data Scientist,2,Bangalore,1085362.0
226,Sutherland,Data Scientist,2,Bangalore,1064862.0
227,Hypersonix (CA),Data Scientist,2,Bangalore,3146934.0
228,Boeing,Data Scientist,2,Bangalore,2266312.0
229,Utopus Insights,Data Scientist,2,Bangalore,1163045.0
230,Apple,Data Scientist,2,Bangalore,857370.0
231,GetupForChange Services,Data Scientist,2,Bangalore,681696.0
232,MIQ Logistics,Data Scientist,2,Bangalore,601398.0
233,Zendrive,Data Scientist,2,Bangalore,1574844.0
234,Honeywell,Data Scientist,2,Bangalore,841368.0
235,Paytm,Data Scientist,2,Bangalore,549688.0
236,Unilever,Data Scientist,2,Bangalore,1705561.0
237,Conduent,Data Scientist,2,Bangalore,846242.0
238,3K Technologies,Data Scientist,2,Bangalore,798116.0
239,DONE by NONE,Data Scientist,2,Bangalore,180396.0
240,Netenrich Inc.,Data Scientist,2,Bangalore,1164765.0
241,Majorel,Data Scientist,2,Bangalore,1347252.0
242,Polynomial.Ai,Data Scientist,2,Bangalore,500036.0
243,HARMAN,Data Scientist,2,Bangalore,638755.0
244,Mbb Labs,Data Scientist,2,Bangalore,1204704.0
245,Analytics Vidhya,Data Scientist,2,Bangalore,152652.0
246,KPMG,Data Scientist,2,Bangalore,874565.0
247,Inference Labs,Data Scientist,2,Bangalore,637284.0
248,Cartesian Consulting,Data Scientist,2,Bangalore,954426.0
249,ZedEye Labs,Data Scientist,2,Bangalore,933816.0
250,McAfee,Data Scientist,2,Bangalore,1181838.0
251,Zinnov Management Consulting,Data Scientist,2,Bangalore,1068503.0
252,Microsoft,Data Scientist,2,Bangalore,1006284.0
253,Simpl,Data Scientist,2,Bangalore,1962841.0
254,Unisys,Data Scientist,2,Bangalore,1104704.0
255,Shaw Academy,Data Scientist,2,Bangalore,1433708.0
256,Rakuten,Data Scientist,2,Bangalore,1929554.0
257,Blue Yonder,Data Scientist,2,Bangalore,2184214.0
258,SalesKen,Data Scientist,2,Bangalore,1039792.0
259,Danske IT and Support Services,Data Scientist,2,Bangalore,831774.0
260,Samsung Electronics,Data Scientist,2,Bangalore,2197572.0
261,Sonata Software,Data Scientist,2,Bangalore,627332.0
262,Merck KGaA,Data Scientist,2,Bangalore,827767.0
263,GE,Data Scientist,2,Bangalore,400800.0
264,InViz AI Solutions,Data Scientist,2,Bangalore,776836.0
265,Sumyag,Data Scientist,2,Bangalore,354240.0
266,Samsung R&D Institute India - Bangalore,Data Scientist,2,Bangalore,1975545.0
267,Quess,Data Scientist,2,Bangalore,781491.0
268,QuEST Global,Data Scientist,2,Bangalore,1408375.0
269,Ong & Shan,Data Scientist,2,Bangalore,87840.0
270,PayU,Data Scientist,2,Bangalore,2018938.0
271,Encora,Data Scientist,2,Bangalore,1256429.0
272,Tata Consultancy Services,Data Scientist,2,Bangalore,1427832.0
273,Accenture,Data Scientist,2,Bangalore,715272.0
274,Walmart eCommerce,Data Scientist,2,Bangalore,2923356.0
275,Nivetti Systems,Data Scientist,2,Bangalore,747000.0
276,Prescience,Data Scientist,2,Bangalore,1437318.0
277,Thoughtworks,Data Scientist,2,Bangalore,865467.0
278,Prognos Health,Data Scientist,2,Bangalore,1588164.0
279,TECH I.S,Data Scientist,2,Bangalore,793932.0
280,Virtusa,Data Scientist,2,Bangalore,481741.0
281,Zeta Suite,Data Scientist,2,Bangalore,1277486.0
282,Halliburton,Data Scientist,2,Bangalore,820544.0
283,Apar Technologies,Data Scientist,2,Bangalore,1624875.0
284,DataMites,Data Scientist,2,Bangalore,529123.0
285,Cerner,Data Scientist,2,Bangalore,1392815.0
286,Juniper Networks,Data Scientist,2,Bangalore,2561949.0
287,Idexcel,Data Scientist,2,Bangalore,709784.0
288,L&T Technology Services,Data Scientist,2,Bangalore,555530.0
289,Tiger Analytics,Data Scientist,2,Bangalore,631299.0
290,Capital One,Data Scientist,2,Bangalore,1588612.0
291,Zeotap,Data Scientist,2,Bangalore,902280.0
292,Bright Money,Data Scientist,2,Bangalore,2739727.0
293,Hakkasan Group,Data Scientist,1,Bangalore,589007.0
294,Thoucentric,Data Scientist,1,Bangalore,480000.0
295,SelfEmployed.com,Data Scientist,1,Bangalore,601956.0
296,The Smart Cube,Data Scientist,1,Bangalore,1003261.0
297,Standard Chartered Global Business Services,Data Scientist,1,Bangalore,2682633.0
298,Ambee (India),Data Scientist,1,Bangalore,920903.0
299,Intuit,Data Scientist,1,Bangalore,3095345.0
300,Diageo,Data Scientist,1,Bangalore,1659175.0
301,Robosoft Technologies,Data Scientist,1,Bangalore,128460.0
302,Perpule,Data Scientist,1,Bangalore,1292428.0
303,WyzMindz,Data Scientist,1,Bangalore,421444.0
304,Tavant,Data Scientist,1,Bangalore,561186.0
305,Nabler Web Solutions,Data Scientist,1,Bangalore,811182.0
306,Mahindra,Data Scientist,1,Bangalore,1079751.0
307,noon,Data Scientist,1,Bangalore,608387.0
308,Biocon,Data Scientist,1,Bangalore,507740.0
309,Snipe Tech Pvt Ltd.,Data Scientist,1,Bangalore,399840.0
310,dAlchemy,Data Scientist,1,Bangalore,600000.0
311,Hewlett-Packard,Data Scientist,1,Bangalore,2204142.0
312,WayCool Foods & Products,Data Scientist,1,Bangalore,830984.0
313,Ithink Technologies,Data Scientist,1,Bangalore,313195.0
314,The Goddard School,Data Scientist,1,Bangalore,300000.0
315,Volvo Group,Data Scientist,1,Bangalore,1200000.0
316,Freshers.com,Data Scientist,1,Bangalore,554844.0
317,Exalca Technologies,Data Scientist,1,Bangalore,353277.0
318,Shenzyn,Data Scientist,1,Bangalore,588795.0
319,Happay,Data Scientist,1,Bangalore,5501040.0
320,Panasonic,Data Scientist,1,Bangalore,1924646.0
321,Spottabl,Data Scientist,1,Bangalore,321161.0
322,NightLight Pediatric Urgent Care,Data Scientist,1,Bangalore,660000.0
323,Ankit R Jain & Associates,Data Scientist,1,Bangalore,600000.0
324,subodh singh,Data Scientist,1,Bangalore,1203913.0
325,Trinity Mobility,Data Scientist,1,Bangalore,636742.0
326,CronLabs Solutions,Data Scientist,1,Bangalore,370227.0
327,SOTI,Data Scientist,1,Bangalore,703427.0
328,CoRover,Data Scientist,1,Bangalore,1999227.0
329,iOPEX Technologies,Data Scientist,1,Bangalore,750000.0
330,Alfonso & Associates Consulting,Data Scientist,1,Bangalore,3530641.0
331,iQuanti,Data Scientist,1,Bangalore,361764.0
332,EdgeVerve Systems,Data Scientist,1,Bangalore,1148909.0
333,Cimpress,Data Scientist,1,Bangalore,502448.0
334,Affle,Data Scientist,1,Bangalore,933286.0
335,Qualcomm,Data Scientist,1,Bangalore,1541568.0
336,Monty Telecom Development,Data Scientist,1,Bangalore,683496.0
337,Philips Lighting,Data Scientist,1,Bangalore,1023226.0
338,ABC,Data Scientist,1,Bangalore,2000000.0
339,Vervenest,Data Scientist,1,Bangalore,341109.0
340,Avail Finance,Data Scientist,1,Bangalore,250560.0
341,YDI Solutions,Data Scientist,1,Bangalore,366410.0
342,AIEnterprise,Data Scientist,1,Bangalore,712525.0
343,GE Power,Data Scientist,1,Bangalore,1269350.0
344,GLOBALFOUNDRIES,Data Scientist,1,Bangalore,902940.0
345,Applied Data Finance,Data Scientist,1,Bangalore,495660.0
346,Ramus Musik,Data Scientist,1,Bangalore,800000.0
347,Trendwise Analytics,Data Scientist,1,Bangalore,481017.0
348,Anonymous,Data Scientist,1,Bangalore,1070536.0
349,DocOn Technologies,Data Scientist,1,Bangalore,2141072.0
350,HackerEarth,Data Scientist,1,Bangalore,1688220.0
351,Quadrant 4 Systems,Data Scientist,1,Bangalore,1026478.0
352,MARS WEB Solution,Data Scientist,1,Bangalore,1031782.0
353,Verizon,Data Scientist,1,Bangalore,1004895.0
354,LivNSense,Data Scientist,1,Bangalore,410994.0
355,Inflexion Analytics,Data Scientist,1,Bangalore,601957.0
356,Arcadix,Data Scientist,1,Bangalore,634675.0
357,Algebra Software Analytics,Data Scientist,1,Bangalore,1078947.0
358,Vedantu,Data Scientist,1,Bangalore,700000.0
359,Automation Anywhere,Data Scientist,1,Bangalore,3200000.0
360,yellow.ai,Data Scientist,1,Bangalore,410994.0
361,IBM Interactive Experience,Data Scientist,1,Bangalore,803916.0
362,TEKsystems,Data Scientist,1,Bangalore,1134960.0
363,Acalvio,Data Scientist,1,Bangalore,2442736.0
364,Nucleus Software Exports,Data Scientist,1,Bangalore,306968.0
365,Genesis Group Software Developers,Data Scientist,1,Bangalore,207746.0
366,PokerStars,Data Scientist,1,Bangalore,208801.0
367,XYZ,Data Scientist,1,Bangalore,2676340.0
368,The Self Employed Association,Data Scientist,1,Bangalore,342781.0
369,AJIO,Data Scientist,1,Bangalore,180000.0
370,---,Data Scientist,1,Bangalore,120000.0
371,Bounce,Data Scientist,1,Bangalore,1855822.0
372,Goldman Sachs,Data Scientist,1,Bangalore,1465644.0
373,Algo8.ai,Data Scientist,1,Bangalore,146564.0
374,Saisree Engineers,Data Scientist,1,Bangalore,450000.0
375,Xenon Automotive,Data Scientist,1,Bangalore,425088.0
376,Wipro,Data Scientist,1,Bangalore,307944.0
377,ALTEN,Data Scientist,1,Bangalore,1461604.0
378,Diverse Lynx,Data Scientist,1,Bangalore,1102652.0
379,Hyperthink Systems,Data Scientist,1,Bangalore,1003261.0
380,TBM Technologies Pvt,Data Scientist,1,Bangalore,502448.0
381,Red Hat,Data Scientist,1,Bangalore,990712.0
382,Adobe,Data Scientist,1,Bangalore,1216776.0
383,Altimetrik,Data Scientist,1,Bangalore,546456.0
384,Informatica,Data Scientist,1,Bangalore,742332.0
385,Falabella,Data Scientist,1,Bangalore,1605217.0
386,Toastmasters International,Data Scientist,1,Bangalore,818581.0
387,KYC Hub,Data Scientist,1,Bangalore,202796.0
388,National Institute of Technology Karnataka,Data Scientist,1,Bangalore,514600.0
389,Texas Instruments,Data Scientist,1,Bangalore,1176880.0
390,Blackstraw,Data Scientist,1,Bangalore,1000000.0
391,G2,Data Scientist,1,Bangalore,1605804.0
392,EdGe Networks,Data Scientist,1,Bangalore,1832052.0
393,Ultramatics,Data Scientist,1,Bangalore,214107.0
394,MResult Services,Data Scientist,1,Bangalore,562370.0
395,Vumonic Technologies,Data Scientist,1,Bangalore,131232.0
396,Dexler Information Solutions,Data Scientist,1,Bangalore,1687111.0
397,SenSight Technologies,Data Scientist,1,Bangalore,179856.0
398,Fractal Systems,Data Scientist,1,Bangalore,2141072.0
399,Grofers,Data Scientist,1,Bangalore,1558095.0
400,Utopia,Data Scientist,1,Bangalore,1051532.0
401,Simple Lecture,Data Scientist,1,Bangalore,502448.0
402,Yes Bank,Data Scientist,1,Bangalore,619584.0
403,Yes Bank,Data Scientist,1,Bangalore,1205880.0
404,TAG Solutions,Data Scientist,1,Bangalore,1462163.0
405,Tesla,Data Scientist,1,Bangalore,1574637.0
406,UnitedHealth Group,Data Scientist,1,Bangalore,325080.0
407,Bestintown Analytics,Data Scientist,1,Bangalore,283392.0
408,Salim Group,Data Scientist,1,Bangalore,269940.0
409,BRIDGEi2i,Data Scientist,1,Bangalore,1306364.0
410,Defence Research & Development Organisation,Data Scientist,1,Bangalore,475188.0
411,dataZen Engineering,Data Scientist,1,Bangalore,184176.0
412,UnitedHealthCare,Data Scientist,1,Bangalore,825425.0
413,SelotSoft,Data Scientist,1,Bangalore,1972136.0
414,T-Mobile,Data Scientist,1,Bangalore,1023226.0
415,ICICI Bank,Data Scientist,1,Bangalore,17082551.12
416,CROPIN TECHNOLOGY SOLUTIONS,Data Scientist,1,Bangalore,697908.0
417,Stayzilla,Data Scientist,1,Bangalore,1465641.0
418,BITS Pilani,Data Scientist,1,Bangalore,5742016.0
419,Hashworks,Data Scientist,1,Bangalore,16122060.0
420,Noodle.ai,Data Scientist,1,Bangalore,321156.0
421,Citicorp Services India,Data Scientist,1,Bangalore,1083371.0
422,Persistent Networks,Data Scientist,1,Bangalore,148608.0
423,Atkins,Data Scientist,1,Bangalore,1600000.0
424,Techstar Consulting,Data Scientist,1,Bangalore,1031782.0
425,Nhai,Data Scientist,1,Bangalore,982296.0
426,The Data Team,Data Scientist,1,Bangalore,646214.0
427,Decision Minds,Data Scientist,1,Bangalore,1822656.0
428,SeedOlabs,Data Scientist,1,Bangalore,498832.0
429,Symphony Teleca,Data Scientist,1,Bangalore,852479.0
430,Artigiani,Data Scientist,1,Bangalore,716258.0
431,PSG College of Technology,Data Scientist,1,Bangalore,1238138.0
432,Opia Labs,Data Scientist,1,Bangalore,2106848.0
433,Midcoast Regional Redevelopment Authority,Data Scientist,1,Bangalore,619069.0
434,Datamatics Global Services,Data Scientist,1,Bangalore,337422.0
435,Customer Centria,Data Scientist,1,Bangalore,444272.0
436,Raju Tech,Data Scientist,1,Bangalore,600000.0
437,Adecco,Data Scientist,1,Bangalore,1349689.0
438,Rplus Analytics,Data Scientist,1,Bangalore,3808049.0
439,ExperienceFlow,Data Scientist,1,Bangalore,711000.0
440,Kubric,Data Scientist,1,Bangalore,1832052.0
441,Praktice Ai,Data Scientist,1,Bangalore,390096.0
442,BitLogic Software,Data Scientist,1,Bangalore,400000.0
443,Yottaasys,Data Scientist,1,Bangalore,1472145.0
444,Nxtra Data,Data Scientist,1,Bangalore,241176.0
445,Instamojo,Data Scientist,1,Bangalore,3808049.0
446,TheMathCompany,Data Scientist,1,Bangalore,1444788.0
447,IQLECT,Data Scientist,1,Bangalore,133284.0
448,The Teaching Company,Data Scientist,1,Bangalore,243360.0
449,qwerty12,Data Scientist,1,Bangalore,1220411.0
450,Institute of Engineering & Management,Data Scientist,1,Bangalore,1708322.0
451,National Centre for Biological Sciences,Data Scientist,1,Bangalore,425761.0
452,Vsoft,Data Scientist,1,Bangalore,464302.0
453,Symbiosis Institute of Computer Studies and Research,Data Scientist,1,Bangalore,500000.0
454,TheMathCompany,Data Scientist,1,Bangalore,578857.0
455,Alackrity Consols,Data Scientist,1,Bangalore,404424.0
456,Neudesic,Data Scientist,1,Bangalore,991803.0
457,Ravid & Associates,Data Scientist,1,Bangalore,900000.0
458,Flip Robo,Data Scientist,1,Bangalore,245580.0
459,DONE by NONE,Data Scientist,1,Bangalore,619068.0
460,KPMG,Data Scientist,1,Bangalore,230952.0
461,SPS Commerce,Data Scientist,1,Bangalore,360000.0
462,Mad Street Den Systems,Data Scientist,1,Bangalore,672260.0
463,CENTURYLINK,Data Scientist,1,Bangalore,1399929.0
